Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	0.0	1164404	-3.000
miRNA	0.0	1647	-3.000
ncRNA	0.0	269078	-3.000
TTS	1.0	1322551	4.095
pseudo	0.0	76352	-3.000
Exon	0.0	1613092	-3.000
Intron	6.0	67828223	0.999
Intergenic	1.0	106968075	-2.243
Promoter	0.0	1425928	-3.000
5UTR	0.0	127356	-3.000
snoRNA	0.0	2	-3.000
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	0.0	1164404	-3.000
Other	0.0	225904	-3.000
Unknown?	0.0	163	-3.000
RNA	0.0	7879	-3.000
miRNA	0.0	1647	-3.000
ncRNA	0.0	269078	-3.000
TTS	1.0	1322551	4.096
LINE	3.0	41093117	0.723
LINE?	0.0	733	-3.000
srpRNA	0.0	12060	-3.000
SINE	0.0	19789124	-3.000
RC	0.0	30214	-3.000
tRNA	0.0	4048	-3.000
DNA?	0.0	17610	-3.000
pseudo	0.0	76352	-3.000
DNA	0.0	6353142	-3.000
Exon	0.0	1613092	-3.000
Intron	4.0	36583795	1.306
Intergenic	0.0	50227922	-3.000
Promoter	0.0	1425928	-3.000
5UTR	0.0	127356	-3.000
snoRNA	0.0	2	-3.000
LTR?	0.0	598	-3.000
scRNA	0.0	6202	-3.000
CpG-Island	0.0	406644	-3.000
Low_complexity	0.0	977421	-3.000
LTR	0.0	16965423	-3.000
Simple_repeat	0.0	1443204	-3.000
snRNA	0.0	17652	-3.000
Unknown	0.0	78773	-3.000
SINE?	0.0	3922	-3.000
Satellite	0.0	657065	-3.000
rRNA	0.0	9678	-3.000
